ぁ,#x3041
あ,#x3042
ぃ,#x3043
い,#x3044
ぅ,#x3045
う,#x3046
ぇ,#x3047
え,#x3048
ぉ,#x3049
お,#x304A
か,#x304B
が,#x304C
き,#x304D
ぎ,#x304E
く,#x304F
ぐ,#x3050
け,#x3051
げ,#x3052
こ,#x3053
ご,#x3054
さ,#x3055
ざ,#x3056
し,#x3057
じ,#x3058
す,#x3059
ず,#x305A
せ,#x305B
ぜ,#x305C
そ,#x305D
ぞ,#x305E
た,#x305F
だ,#x3060
ち,#x3061
ぢ,#x3062
っ,#x3063
つ,#x3064
づ,#x3065
て,#x3066
で,#x3067
と,#x3068
ど,#x3069
な,#x306A
に,#x306B
ぬ,#x306C
ね,#x306D
の,#x306E
は,#x306F
ば,#x3070
ぱ,#x3071
ひ,#x3072
び,#x3073
ぴ,#x3074
ふ,#x3075
ぶ,#x3076
ぷ,#x3077
へ,#x3078
べ,#x3079
ぺ,#x307A
ほ,#x307B
ぼ,#x307C
ぽ,#x307D
ま,#x307E
み,#x307F
む,#x3080
め,#x3081
も,#x3082
ゃ,#x3083
や,#x3084
ゅ,#x3085
ゆ,?#x3086
ょ,?#x3087
よ,?#x3088
ら,?#x3089
り,?#x308A
る,?#x308B
れ,?#x308C
ろ,?#x308D
ゎ,?#x308E
わ,?#x308F
ゐ,?#x3090
ゑ,?#x3091
を,?#x3092
ん,?#x3093
?,?#x3094
ァ,?#x30A1
ア,?#x30A2
ィ,?#x30A3
イ,?#x30A4
ゥ,?#x30A5
ウ,?#x30A6
ェ,?#x30A7
エ,?#x30A8
ォ,?#x30A9
オ,?#x30AA
カ,?#x30AB
ガ,?#x30AC
キ,?#x30AD
ギ,?#x30AE
ク,?#x30AF
グ,?#x30B0
ケ,?#x30B1
ゲ,?#x30B2
コ,?#x30B3
ゴ,?#x30B4
サ,?#x30B5
ザ,?#x30B6
シ,?#x30B7
ジ,?#x30B8
ス,?#x30B9
ズ,?#x30BA
セ,?#x30BB
ゼ,?#x30BC
ソ,?#x30BD
ゾ,?#x30BE
タ,?#x30BF
ダ,?#x30C0
チ,?#x30C1
ヂ,?#x30C2
ッ,?#x30C3
ツ,?#x30C4
ヅ,?#x30C5
テ,?#x30C6
デ,?#x30C7
ト,?#x30C8
ド,?#x30C9
ナ,?#x30CA
ニ,?#x30CB
ヌ,?#x30CC
ネ,?#x30CD
ノ,?#x30CE
ハ,?#x30CF
バ,?#x30D0
パ,?#x30D1
ヒ,?#x30D2
ビ,?#x30D3
ピ,?#x30D4
フ,?#x30D5
ブ,?#x30D6
プ,?#x30D7
ヘ,?#x30D8
ベ,?#x30D9
ペ,?#x30DA
ホ,?#x30DB
ボ,?#x30DC
ポ,?#x30DD
マ,?#x30DE
ミ,?#x30DF
ム,?#x30E0
メ,?#x30E1
モ,?#x30E2
ャ,?#x30E3
ヤ,?#x30E4
ュ,?#x30E5
ユ,?#x30E6
ョ,?#x30E7
ヨ,?#x30E8
ラ,?#x30E9
リ,?#x30EA
ル,?#x30EB
レ,?#x30EC
ロ,?#x30ED
ヮ,?#x30EE
ワ,?#x30EF
ヰ,?#x30F0
ヱ,?#x30F1
ヲ,?#x30F2
ン,?#x30F3
ヴ,?#x30F4
ヵ,?#x30F5
ヶ,?#x30F6
?,?#x30F7
?,?#x30F8
?,?#x30F9
?,?#x30FA
・,?#x30FB
