Char,Unicode (hex),Decimal,Learning Order
àÍ,U+4E00,19968,1
íö,U+4E01,19969,3
éµ,U+4E03,19971,1
ñú,U+4E07,19975,2
è‰,U+4E08,19976,7
éO,U+4E09,19977,1
è„,U+4E0A,19978,1
â∫,U+4E0B,19979,1
ïs,U+4E0D,19981,4
ó^,U+4E0E,19982,7
äé,U+4E14,19988,7
ê¢,U+4E16,19990,3
ãu,U+4E18,19992,7
ï∏,U+4E19,19993,7
óº,U+4E21,20001,3
ï¿,U+4E26,20006,6
íÜ,U+4E2D,20013,1
ä€,U+4E38,20024,2
íO,U+4E39,20025,7
éÂ,U+4E3B,20027,3
ãv,U+4E45,20037,5
ñR,U+4E4F,20047,7
èÊ,U+4E57,20055,3
â≥,U+4E59,20057,7
ã„,U+4E5D,20061,1
óê,U+4E71,20081,6
ì˚,U+4E73,20083,6
ä£,U+4E7E,20094,7
óπ,U+4E86,20102,7
ó\,U+4E88,20104,3
ëà,U+4E89,20105,4
éñ,U+4E8B,20107,3
ìÒ,U+4E8C,20108,1
å›,U+4E92,20114,7
å‹,U+4E94,20116,1
à‰,U+4E95,20117,7
àü,U+4E9C,20124,7
ñS,U+4EA1,20129,6
å,U+4EA4,20132,2
ãù,U+4EAB,20139,7
ãû,U+4EAC,20140,2
í‡,U+4EAD,20141,7
êl,U+4EBA,20154,1
êm,U+4EC1,20161,6
ç°,U+4ECA,20170,2
âÓ,U+4ECB,20171,7
ïß,U+4ECF,20175,5
éd,U+4ED5,20181,3
ëº,U+4ED6,20182,3
ït,U+4ED8,20184,4
êÂ,U+4ED9,20185,7
ë„,U+4EE3,20195,3
óﬂ,U+4EE4,20196,4
à»,U+4EE5,20197,4
âº,U+4EEE,20206,5
ã¬,U+4EF0,20208,7
íá,U+4EF2,20210,4
åè,U+4EF6,20214,5
îC,U+4EFB,20219,5
äÈ,U+4F01,20225,7
ïö,U+4F0F,20239,7
î∞,U+4F10,20240,7
ãx,U+4F11,20241,1
âÔ,U+4F1A,20250,2
ì`,U+4F1D,20253,4
îå,U+4F2F,20271,7
î∫,U+4F34,20276,7
êL,U+4F38,20280,7
éf,U+4F3A,20282,7
éó,U+4F3C,20284,5
